iter	Passed	Remaining
0	1	135
1	2	109
2	3	106
3	4	100
4	5	96
5	5	93
6	6	90
7	7	89
8	8	88
9	9	89
10	10	87
11	11	87
12	12	86
13	14	86
14	15	85
15	16	85
16	17	84
17	18	82
18	18	80
19	19	79
20	20	77
21	21	76
22	22	75
23	23	74
24	24	72
25	25	71
26	26	70
27	27	69
28	28	69
29	29	67
30	29	66
31	30	64
32	31	63
33	32	62
34	33	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	55
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	52	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	32
63	56	31
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	72	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	84	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
