iter	Passed	Remaining
0	1	1201
1	2	999
2	2	927
3	3	895
4	4	915
5	5	951
6	6	961
7	7	961
8	8	956
9	9	951
10	10	950
11	11	986
12	13	999
13	14	1012
14	15	1005
15	16	1001
16	17	992
17	18	985
18	18	977
19	19	967
20	20	960
21	21	948
22	22	945
23	23	941
24	23	934
25	24	928
26	25	933
27	26	936
28	28	949
29	29	945
30	30	942
31	30	936
32	31	933
33	32	933
34	33	933
35	34	932
36	35	931
37	36	932
38	38	943
39	40	961
40	41	965
41	42	966
42	43	969
43	44	971
44	45	971
45	46	971
46	47	969
47	48	967
48	49	967
49	51	970
50	53	1002
51	55	1006
52	56	1009
53	57	1008
54	58	1005
55	59	1006
56	60	1004
57	61	1000
58	62	997
59	63	993
60	64	989
61	65	984
62	66	981
63	67	985
64	68	987
65	69	986
66	70	984
67	71	981
68	72	978
69	73	973
70	74	969
71	74	966
72	75	963
73	76	961
74	77	960
75	78	958
76	80	962
77	81	962
78	82	962
79	83	960
80	84	959
81	85	957
82	86	950
83	87	949
84	88	947
85	89	945
86	90	944
87	90	942
88	91	940
89	92	938
90	94	940
91	95	941
92	96	938
93	97	936
94	98	934
95	98	932
96	99	930
97	100	929
98	102	932
99	103	930
100	104	929
101	105	928
102	106	927
103	107	927
104	108	927
105	109	925
106	110	923
107	111	921
108	112	919
109	113	917
110	114	916
111	115	915
112	116	915
113	117	914
114	118	912
115	119	910
116	120	909
117	121	910
118	122	910
119	124	909
120	125	908
121	125	905
122	127	909
123	128	909
124	129	908
125	130	907
126	131	904
127	132	903
128	133	904
129	135	905
130	136	904
131	137	904
132	138	902
133	139	902
134	140	900
135	141	898
136	142	897
137	143	895
138	144	893
139	145	892
140	146	890
141	146	886
142	148	887
143	149	887
144	150	884
145	150	882
146	151	881
147	152	880
148	153	878
149	154	876
150	155	874
151	156	872
152	157	871
153	158	868
154	159	866
155	159	865
156	161	864
157	162	864
158	163	863
159	164	862
160	165	860
161	166	858
162	166	857
163	168	856
164	169	855
165	169	853
166	170	852
167	171	851
168	172	849
169	173	848
170	174	847
171	175	847
172	176	845
173	177	844
174	178	843
175	179	841
176	180	839
177	181	838
178	182	837
179	183	835
180	184	834
181	185	833
182	186	831
183	187	830
184	188	830
185	189	830
186	191	830
187	191	828
188	192	827
189	193	825
190	194	824
191	195	823
192	196	821
193	197	819
194	198	818
195	199	816
196	199	815
197	200	813
198	202	813
199	203	813
200	204	812
201	205	811
202	206	810
203	207	809
204	208	808
205	209	807
206	210	806
207	211	805
208	212	804
209	213	803
210	214	801
211	215	802
212	217	802
213	218	801
214	219	799
215	219	798
216	220	796
217	221	795
218	222	794
219	223	792
220	224	791
221	225	790
222	226	789
223	227	788
224	228	786
225	229	786
226	230	785
227	231	784
228	232	783
229	233	781
230	234	780
231	235	779
232	236	777
233	237	776
234	238	775
235	239	774
236	240	773
237	241	772
238	242	770
239	243	770
240	244	769
241	245	768
242	246	766
243	246	765
244	247	763
245	248	761
246	249	760
247	250	758
248	251	757
249	252	756
